round_idx,node_id,mesh_kd_loss,mesh_crop_kd_loss,mesh_sup_loss,mesh_proto_loss,mesh_crop_accuracy,mesh_disease_accuracy,mesh_pair_accuracy,mesh_crop_macro_precision,mesh_crop_macro_recall,mesh_crop_macro_f1,mesh_disease_macro_precision,mesh_disease_macro_recall,mesh_disease_macro_f1,mesh_pair_macro_precision,mesh_pair_macro_recall,mesh_pair_macro_f1,baseline_crop_accuracy,baseline_disease_accuracy,baseline_pair_accuracy,baseline_crop_macro_precision,baseline_crop_macro_recall,baseline_crop_macro_f1,baseline_disease_macro_precision,baseline_disease_macro_recall,baseline_disease_macro_f1,baseline_pair_macro_precision,baseline_pair_macro_recall,baseline_pair_macro_f1
3,node_2,0.23137919297989676,0.14662748071200707,0.9455408269868177,0.4770382318426581,0.7216494845360825,0.7525773195876289,0.6288659793814433,0.8250524109014675,0.5715099715099715,0.6165946062730707,0.621106166560712,0.6096037296037295,0.6010509584977671,0.5162637362637362,0.42761197866461026,0.454613429417351,0.5051546391752577,0.4639175257731959,0.3711340206185567,0.3431818181818182,0.3315527065527066,0.31512428816776644,0.23062748699112337,0.257039627039627,0.23825135962435728,0.1872150072150072,0.24595463016515648,0.18516559017286316
3,node_3,0.25187488878145814,0.16307284170761704,1.008684616535902,0.5020694229751825,0.8333333333333334,0.6777777777777778,0.5888888888888889,0.7015993265993266,0.6581699346405229,0.6752645502645502,0.4665392079185182,0.506198347107438,0.46002446514209,0.4150850018037518,0.4117897727272727,0.3967451609692989,0.6333333333333333,0.5333333333333333,0.4444444444444444,0.5840187590187591,0.47679738562091495,0.47248503130856073,0.3604577240940877,0.3400137741046832,0.31844845975280756,0.34302026098901095,0.2914007867132867,0.2835117307156781
3,node_4,0.25340001583099364,0.16375716539720694,1.0301554103692372,0.5067790706952413,0.7228915662650602,0.5421686746987951,0.4457831325301205,0.736449864498645,0.511010101010101,0.5386002886002886,0.40760816723383564,0.4434731934731934,0.38996865203761755,0.35523744229626586,0.3367909867909868,0.2956880412052826,0.7831325301204819,0.5783132530120482,0.5180722891566265,0.7611965329356635,0.695479797979798,0.7075670498084291,0.3424539512774807,0.35081585081585076,0.3219139149620433,0.32673585673585676,0.3444638694638694,0.3051106083459025
3,node_5,0.30299635529518126,0.17140176929533482,0.9835728496313095,0.5538661167025566,0.7627118644067796,0.6440677966101694,0.559322033898305,0.8166666666666668,0.5811688311688311,0.6115861814491951,0.38871128871128874,0.41551202420767636,0.3704236939531057,0.3488601182099634,0.35614035087719303,0.3337406015037594,0.6779661016949152,0.423728813559322,0.3559322033898305,0.451413085559427,0.45815295815295815,0.4258349258349258,0.21410256410256412,0.2644529383659818,0.19957690887923446,0.17828947368421053,0.19385964912280704,0.15690031530439003
4,node_0,0.29350240315709797,0.1669714017105954,0.9522476707186017,0.5961823942405837,0.8831168831168831,0.5974025974025974,0.5714285714285714,0.9459090909090909,0.756439393939394,0.8117108747154734,0.4791083916083917,0.5293697478991597,0.49571022968048134,0.5941028668301396,0.5438714879891351,0.560952848420879,0.6883116883116883,0.35064935064935066,0.35064935064935066,0.7270355731225296,0.6113636363636363,0.637584480600751,0.37841360766892684,0.31179738562091497,0.26939935064935067,0.34653137560114305,0.35920974450386217,0.28543880362062174
4,node_1,0.2618575371228732,0.17153003467963293,0.904206626690351,0.5438097749765103,0.6764705882352942,0.5588235294117647,0.5,0.44375522138680035,0.5087912087912088,0.47318116435763496,0.4866503267973856,0.37844322344322345,0.40623655913978496,0.3824404761904762,0.2863400488400488,0.3168913921602094,0.5441176470588235,0.4264705882352941,0.4117647058823529,0.6267857142857143,0.5034188034188033,0.47050091485575357,0.30748069498069497,0.26974358974358975,0.2426144933497875,0.3374368686868687,0.2642094017094017,0.2518398268398268
4,node_2,0.19692178552641587,0.13082394464051023,0.9183875015553307,0.49045012365369234,0.7938144329896907,0.7525773195876289,0.6907216494845361,0.7943348580141033,0.6710826210826211,0.7173198264813171,0.49248327430145605,0.5360139860139861,0.49956301560075145,0.4860968660968661,0.4867418546365914,0.4821191154524488,0.6907216494845361,0.6804123711340206,0.5670103092783505,0.6306418219461699,0.6576210826210825,0.6246110478668618,0.5186081595172504,0.5692773892773892,0.5267305839406152,0.45370370370370366,0.4712126470021206,0.4406779206553465
4,node_3,0.22189605794847012,0.14141742163337767,0.7633805675432086,0.5371375968679786,0.8111111111111111,0.6555555555555556,0.6,0.7066786533249947,0.6783496732026144,0.6875617283950618,0.45234936514840823,0.4480716253443527,0.43623523221291177,0.5331349206349206,0.45958624708624707,0.46857277454956314,0.7444444444444445,0.6222222222222222,0.5444444444444444,0.5130330498707285,0.5268790849673203,0.5172994148866531,0.4633164489469474,0.43677685950413225,0.43173728628274083,0.3943204365079365,0.3677738927738928,0.3671930841302038
4,node_4,0.2751797646284103,0.1884486772119999,0.9728554129600525,0.5534798979759217,0.8313253012048193,0.6626506024096386,0.6024096385542169,0.9093031609195402,0.7385606060606061,0.7894087069525666,0.5784271284271285,0.5903263403263403,0.5511062391445166,0.5245767195767196,0.5562742812742812,0.515692471920542,0.7831325301204819,0.5662650602409639,0.4939759036144578,0.687160759897829,0.6141161616161617,0.6349995358767289,0.3796023168750441,0.4219114219114219,0.3556425446148766,0.30422547822547824,0.31105283605283607,0.27241538241538243
4,node_5,0.2805229194462299,0.18763609118759633,0.7007352739572525,0.6432558089494705,0.7627118644067796,0.5932203389830508,0.4915254237288136,0.7281976744186046,0.5584415584415584,0.5768588137009188,0.3201385570950788,0.35017518713170886,0.3084040927290355,0.3105724838411819,0.2973684210526316,0.2697798417612659,0.15254237288135594,0.2033898305084746,0.11864406779661017,0.14876543209876544,0.18686868686868685,0.06333630686886708,0.06808510638297872,0.10367892976588629,0.04936240230357877,0.044050343249427915,0.06315789473684211,0.025041551246537397
5,node_0,0.2288987354508468,0.13605528803808348,0.6982217590723719,0.6745307115571839,0.8831168831168831,0.5454545454545454,0.5324675324675324,0.8760204081632652,0.843939393939394,0.8448556760656599,0.5528613053613054,0.568954248366013,0.5308102766798418,0.6888139638139639,0.591473559120618,0.613820018365473,0.8311688311688312,0.5194805194805194,0.5194805194805194,0.74,0.6227272727272728,0.648080808080808,0.45540935672514615,0.44721288515406166,0.40428012239332994,0.41400850611376927,0.4065571683218742,0.3675273839939363
5,node_1,0.2896505215993294,0.21588589422977889,0.8052823967658557,0.6031678949411099,0.6617647058823529,0.5882352941176471,0.5147058823529411,0.6357219251336899,0.5485491632550457,0.5549283154121863,0.47298590298590304,0.41503663003663005,0.4124225447754859,0.41625839438339446,0.3297924297924298,0.339021164021164,0.6029411764705882,0.5294117647058824,0.4852941176470588,0.5048500881834215,0.4957516339869282,0.46884477529638807,0.4366666666666667,0.3821428571428571,0.3765982404692082,0.3528458605664488,0.3013888888888889,0.29848484848484846
5,node_2,0.21704071628696778,0.13415398361051784,0.7336529545924243,0.4811851601390278,0.845360824742268,0.7319587628865979,0.6907216494845361,0.8313461538461538,0.7480769230769231,0.776812865497076,0.48931488801054024,0.5338461538461537,0.5019237832874196,0.49109085359085364,0.51631000578369,0.49303642182073554,0.5463917525773195,0.4639175257731959,0.422680412371134,0.4480741480741481,0.4664529914529914,0.40771940406954793,0.3920110192837465,0.3324475524475524,0.3032204202416968,0.30833333333333335,0.26734657155709785,0.24290176054881935
5,node_3,0.2046137941069901,0.12512621248606592,0.6342432973906398,0.5600052690133452,0.8666666666666667,0.7,0.6444444444444445,0.9334018627542596,0.8429738562091504,0.8794206797596628,0.6088744588744589,0.5926308539944903,0.5709950353876885,0.6429563492063493,0.5649147727272728,0.5775777706698759,0.6888888888888889,0.5444444444444444,0.5222222222222223,0.6588755160183731,0.5895424836601307,0.5821742566412785,0.40606060606060607,0.39407713498622593,0.37240104393214435,0.39208472686733553,0.3840872668997669,0.3623360707919531
5,node_4,0.2917845795551936,0.19260335192084313,0.7783058047294616,0.539978833993276,0.8433734939759037,0.6265060240963856,0.5662650602409639,0.9201161946259986,0.7256565656565656,0.7847385194842822,0.49319783751601937,0.5710955710955711,0.5059904967142257,0.5312469937469938,0.5182595182595182,0.4992076977384324,0.6626506024096386,0.5060240963855421,0.46987951807228917,0.5964313464313464,0.5121717171717172,0.5120439780109945,0.4241927662980295,0.4178321678321678,0.3973412950685678,0.36203703703703705,0.3316433566433566,0.31578078134599874
5,node_5,0.2814368359744549,0.171424812823534,0.6348783001303673,0.6444164127111435,0.7288135593220338,0.6271186440677966,0.4745762711864407,0.7823232323232324,0.5012987012987012,0.5406926406926407,0.4307692307692308,0.3880394967351489,0.3845762081056199,0.3287429099063448,0.27982456140350875,0.27685054883197296,0.7457627118644068,0.559322033898305,0.423728813559322,0.5676587301587301,0.5712481962481962,0.5496721695351833,0.30163358147229113,0.3236184105749323,0.29804952881875957,0.2771929824561403,0.28157894736842104,0.26327356853672645
